players_sabun_x,players_sabun_y,player1_ball_sabun_x,player1_ball_sabun_y,player2_ball_sabun_x,player2_ball_sabun_y
3,0.0,5.6,0.5,2.5999999999999996,0.5
3,0.0,5.6,0.5,2.5999999999999996,0.5
3,0.0,5.6,1.5,2.5999999999999996,1.5
3,0.0,5.6,2.5,2.5999999999999996,2.5
3,0.0,5.6,3.5,2.5999999999999996,3.5
3,0.0,5.6,4.5,2.5999999999999996,4.5
3,0.0,5.199999999999999,4.5,2.1999999999999993,4.5
3,0.0,5.199999999999999,3.5,2.1999999999999993,3.5
3,0.0,5.199999999999999,2.5,2.1999999999999993,2.5
3,0.0,5.199999999999999,1.5,2.1999999999999993,1.5
3,0.0,5.199999999999999,0.5,2.1999999999999993,0.5
3,0.0,5.199999999999999,0.5,2.1999999999999993,0.5
3,0.0,5.199999999999999,1.5,2.1999999999999993,1.5
3,0.0,5.199999999999999,2.5,2.1999999999999993,2.5
3,0.0,5.199999999999999,3.5,2.1999999999999993,3.5
3,0.0,5.199999999999999,4.5,2.1999999999999993,4.5
3,0.0,4.8,4.5,1.7999999999999998,4.5
3,0.0,4.8,3.5,1.7999999999999998,3.5
3,0.0,4.8,2.5,1.7999999999999998,2.5
3,0.0,4.8,1.5,1.7999999999999998,1.5
3,0.0,4.8,0.5,1.7999999999999998,0.5
3,0.0,4.8,0.5,1.7999999999999998,0.5
3,0.0,4.8,1.5,1.7999999999999998,1.5
3,0.0,4.8,2.5,1.7999999999999998,2.5
3,0.0,4.8,3.5,1.7999999999999998,3.5
3,0.0,4.8,4.5,1.7999999999999998,4.5
3,0.0,4.4,4.5,1.4000000000000004,4.5
3,0.0,4.4,3.5,1.4000000000000004,3.5
3,0.0,4.4,2.5,1.4000000000000004,2.5
3,0.0,4.4,1.5,1.4000000000000004,1.5
3,0.0,4.4,0.5,1.4000000000000004,0.5
3,0.0,4.4,0.5,1.4000000000000004,0.5
3,0.0,4.4,1.5,1.4000000000000004,1.5
3,0.0,4.4,2.5,1.4000000000000004,2.5
3,0.0,4.4,3.5,1.4000000000000004,3.5
3,0.0,4.4,4.5,1.4000000000000004,4.5
3,0.0,4.0,4.5,1.0,4.5
3,0.0,4.0,3.5,1.0,3.5
3,0.0,4.0,2.5,1.0,2.5
3,0.0,4.0,1.5,1.0,1.5
3,0.0,4.0,0.5,1.0,0.5
3,0.0,4.0,0.5,1.0,0.5
3,0.0,4.0,1.5,1.0,1.5
3,0.0,4.0,2.5,1.0,2.5
3,0.0,4.0,3.5,1.0,3.5
3,0.0,4.0,4.5,1.0,4.5
3,0.0,3.5999999999999996,4.5,0.5999999999999996,4.5
3,0.0,3.5999999999999996,3.5,0.5999999999999996,3.5
3,0.0,3.5999999999999996,2.5,0.5999999999999996,2.5
3,0.0,3.5999999999999996,1.5,0.5999999999999996,1.5
