name,No,receive_mae,receive_yoko,result,under_over,v_start,v_stop,v_frame,t_movie,mae_x,mae_y,mae_w,mae_h,mae_co,yoko_x,yoko_y,yoko_w,yoko_h,yoko_co,x_diff,y_diff,z_diff,raw_x,raw_y,raw_z,cor_x,cor_y,cor_z,x,y,z
hagino_fukai,21,53311,53342,1,1,49294,49389,95,1.584918252,0.296,0.497,0.026,0.044,1.0,0.493,0.453,0.012,0.022,0.986,-0.216,-0.012,0.024,-2.6222483348274626,0.15805615224932903,-0.051752970396269596,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,22,56332,56363,0,1,50034,50144,110,1.835168502,0.15,0.489,0.028,0.044,1.0,0.499,0.448,0.013,0.024,0.999,-0.362,-0.02,0.03,-4.381579976219494,0.18177437715837172,0.02427845278581523,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,23,59093,59124,0,0,50725,50834,109,1.818485152,0.647,0.267,0.026,0.047,1.0,0.507,0.364,0.009,0.019,0.753,0.135,-0.243,0.038,1.644637446508298,1.4394180304519655,0.18311659885198042,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,24,61479,61510,1,1,51327,51429,102,1.701701702,0.686,0.536,0.03,0.053,1.0,0.536,0.467,0.011,0.018,0.994,0.174,0.027,0.068,2.007066570408524,0.009821745518948394,0.7231935304410138,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,25,63852,63883,1,0,51920,52023,103,1.718385052,0.632,0.271,0.033,0.059,1.0,0.567,0.377,0.009,0.019,0.898,0.12,-0.238,0.099,1.321163668607264,1.2709315067178297,1.242962563513479,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,26,995,1348,1,1,64373,64463,90,1.501501502,0.313,0.415,0.024,0.043,1.0,0.471,0.413,0.011,0.023,1.0,-0.199,-0.094,0.002,-2.4789614250393615,0.6045479201835982,-0.34981473000020424,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,27,3624,3977,1,0,65008,65119,111,1.851851852,0.716,0.278,0.025,0.044,1.0,0.478,0.368,0.009,0.018,0.956,0.204,-0.231,0.009,2.596878904667235,1.456151785111939,-0.36115454290670046,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,28,6060,6413,1,0,65624,65728,104,1.735068402,0.627,0.359,0.025,0.047,1.0,0.506,0.399,0.009,0.014,0.892,0.115,-0.151,0.037,1.4073447336623208,0.9431681518409556,0.1626382543565141,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,29,8562,8915,1,1,66277,66352,75,1.251251251,0.5400000000000001,0.503,0.025,0.049,1.0,0.509,0.457,0.011,0.022,1.0,0.028,-0.007,0.04,0.36026233869000795,0.15190071756130574,0.2020500203916313,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,30,13566,13919,1,1,67505,67602,97,1.618284952,0.551,0.469,0.023,0.046,1.0,0.474,0.445,0.011,0.019,0.999,0.039,-0.04,0.006,0.5187587562468428,0.33187972134779775,-0.3851110493327837,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,31,16088,16441,1,0,68131,68232,101,1.685018352,0.711,0.299,0.025,0.038,0.999,0.477,0.378,0.009,0.017,0.993,0.199,-0.21,0.008,2.5378509007099583,1.3264387601259116,-0.3789925955342463,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,32,18367,18720,1,0,68696,68801,105,1.751751752,0.18,0.331,0.027,0.041,1.0,0.4799999999999999,0.363,0.011,0.021,0.998,-0.332,-0.178,0.011,-4.0976742482520345,1.0222066042307585,-0.19791484777513352,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,33,20633,20986,0,0,69263,69367,104,1.735068402,0.428,0.326,0.022,0.04,1.0,0.445,0.367,0.013,0.022,1.0,-0.084,-0.183,-0.024,-1.070544746509497,1.1743814672004653,-0.7821704790667897,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,34,23119,23472,1,1,69878,69988,110,1.835168502,0.006,0.559,0.01,0.072,0.735,0.6010000000000001,0.4759999999999999,0.015,0.024,1.0,-0.506,0.05,0.132,-5.559657698512537,-0.13598474595683172,1.0529431887553329,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,35,25981,26334,1,1,70597,70703,106,1.768435102,0.843,0.474,0.032,0.052,1.0,0.53,0.448,0.009,0.02,0.977,0.331,-0.035,0.061,3.8131596619883394,0.33210713705023115,0.6784846758297775,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,36,28603,28956,0,1,71271,71357,86,1.434768101,0.564,0.604,0.026,0.049,1.0,0.533,0.495,0.011,0.021,0.977,0.052,0.095,0.064,0.6230847463164825,-0.3561354502581295,0.6124289369366481,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,37,31178,31531,0,1,71901,72001,100,1.668335002,0.901,0.511,0.028,0.047,1.0,0.511,0.46,0.01,0.019,0.915,0.389,0.002,0.042,4.64034539185941,0.14964423499613852,0.3022651924776336,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,38,33552,33905,0,0,36,129,93,1.551551552,0.261,0.417,0.03,0.044,1.0,0.531,0.418,0.011,0.021,0.999,-0.251,-0.092,0.063,-2.9141400011712433,0.5471519344177527,0.4449762725990067,-0.08429,-0.74456,-0.31157,,,
