usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,raw_x,raw_y,raw_z
907,739,986,600,3.5,5,5.5,5,-0.1389182311572096,0.21365261294833077,0.16777491925520605
908,738,996,598,3.5,5,5.5,5,-0.13322779021055076,0.21505228999700246,0.2517752801011616
1131,739,887,599,3.5,5,5.5,5,0.873784925475598,0.255598847578878,-0.7089555873237477
949,710,1096,603,3.5,5,5.5,5,0.028568373766174784,0.09189361938252973,1.1032425598905728
998,731,981,596,3.5,5,5.5,5,0.2346656996818866,0.211535660810191,0.12905209626505648
1005,740,969,590,3.5,5,5.5,5,0.26727989494579246,0.2618111962706873,0.025842860338715187
837,743,960,598,3.5,5,5.5,5,-0.4383469561822797,0.24730100225743173,-0.04933450016173321
992,724,1031,597,3.5,5,5.5,5,0.19733697061677066,0.1699128645052923,0.557927198618048
1047,738,957,607,3.5,5,5.5,5,0.44895563948348716,0.18709942526153708,-0.07859070733575567
1019,726,1015,604,3.5,5,5.5,5,0.3077681860681319,0.14928916562702685,0.4237016574675032
960,740,938,609,3.5,5,5.5,5,0.0823906264234127,0.19806471944997078,-0.23852570519678823
1121,726,981,608,3.5,5,5.5,5,0.7401921030721995,0.14083976615412824,0.13342040576636952
873,754,916,594,3.5,5,5.5,5,-0.3008948577041543,0.3084962576475126,-0.41487219407885667
1162,742,934,608,3.5,5,5.5,5,0.9626679221685548,0.1954057862283841,-0.2888294540087547
1109,727,979,606,3.5,5,5.5,5,0.6926203386552453,0.15359864899197356,0.11527065461759976
932,752,953,593,3.5,5,5.5,5,-0.03807202740793823,0.2860330240205907,-0.10985731014892271
1037,722,1056,597,3.5,5,5.5,5,0.35893117607596187,0.15192380957545062,0.7809057652342152
1104,763,893,601,3.5,5,5.5,5,0.7440598284480421,0.2998720407243681,-0.6496563198953024
1110,743,973,598,3.5,5,5.5,5,0.7019351091294354,0.22542772300969552,0.06209217184314195
1018,757,905,586,3.5,5,5.5,5,0.3462224123250315,0.3494621344750212,-0.528884333146507
