usiro_x,usiro_y,yoko_x,yoko_y,player1_x,player1_y,player2_x,player2_y,raw_x,raw_y,raw_z
907,739,986,600,3.5,5,5.5,5,-0.29068274192389987,0.09445573604306509,0.26571687894873175
908,738,996,598,3.5,5,5.5,5,-0.2832330216529534,0.09594842807123774,0.3489247102401011
1131,739,887,599,3.5,5,5.5,5,0.6885662131969368,0.12712402037692455,-0.5940584630923299
949,710,1096,603,3.5,5,5.5,5,-0.10510914400520267,-0.02552986872658418,1.1942039535470976
998,731,981,596,3.5,5,5.5,5,0.07686830812930533,0.08966470642435174,0.22992205980471972
1005,740,969,590,3.5,5,5.5,5,0.1067841457686541,0.13892547280563267,0.12800622501222808
837,743,960,598,3.5,5,5.5,5,-0.5909119263876246,0.1295181437963943,0.04880674110574263
992,724,1031,597,3.5,5,5.5,5,0.04935908140960133,0.0495197493255346,0.6544283949650961
1047,738,957,607,3.5,5,5.5,5,0.2835905400481072,0.06354970707568983,0.025930896579985287
1019,726,1015,604,3.5,5,5.5,5,0.15528608563592672,0.028073816864803734,0.5221727992447025
960,740,938,609,3.5,5,5.5,5,-0.08124881265383153,0.07675483495368883,-0.13474567420012448
1121,726,981,608,3.5,5,5.5,5,0.5750460592970064,0.016145676442397294,0.23767350295958267
873,754,916,594,3.5,5,5.5,5,-0.4632359859481073,0.1883495788425908,-0.3116979571267444
1162,742,934,608,3.5,5,5.5,5,0.7851107539776312,0.06769235726009692,-0.17842171671377074
1109,727,979,606,3.5,5,5.5,5,0.5278076841824568,0.029069784182638597,0.21938974726848917
932,752,953,593,3.5,5,5.5,5,-0.19726268045476505,0.16477485657469,-0.008327605897145823
1037,722,1056,597,3.5,5,5.5,5,0.21338035128589933,0.03094465999415962,0.8765359510978652
1104,763,893,601,3.5,5,5.5,5,0.5620572420432498,0.17177478126923543,-0.5364100787035333
1110,743,973,598,3.5,5,5.5,5,0.535845218109302,0.09984321800299238,0.16683152037437524
1018,757,905,586,3.5,5,5.5,5,0.17259911144727422,0.22392536654596928,-0.4198855430229603
